product name full,product link,price,review-count,thumbnail,categories,subcategories
"Maxxis Minion DHR II 3C MaxxTerra EXO/Dual EXO WT 27.5"" Folding Tyre Set",https://www.bike-components.de/en/Maxxis/Minion-DHR-II-3C-MaxxTerra-EXO-Dual-EXO-WT-27-5-Folding-Tyre-Set-p59286/,75.59 €,,,Tyres,"27.5"" Tyres"
"Continental Trail King 2.6 ProTection Apex 27,5+ Faltreifen",https://www.bike-components.de/en/Continental/Trail-King-2-6-ProTection-Apex-27-5-Faltreifen-p60618/,37.81 €,,,Tyres,"27.5"" Tyres"
Michelin Wild Enduro Rear Gum-X 27.5 Folding Tyre 2018 Model,https://www.bike-components.de/en/Michelin/Wild-Enduro-Rear-Gum-X-27-5-Folding-Tyre-2018-Model-p62466/,44.50 €,,,Tyres,"27.5"" Tyres"
"Continental Mountain King III 27.5"" Folding Tyre",https://www.bike-components.de/en/Continental/Mountain-King-III-27-5-Folding-Tyre-p64936/,20.97 €,,,Tyres,"27.5"" Tyres"
"Continental Grand Prix 5000 27.5"" Folding Tyre",https://www.bike-components.de/en/Continental/Grand-Prix-5000-27-5-Folding-Tyre-p68411/,from  33.61€,,,Tyres,"27.5"" Tyres"
"Maxxis Assegai Dual EXO WT TR 27.5"" Folding Tyre",https://www.bike-components.de/en/Maxxis/Assegai-Dual-EXO-WT-TR-27-5-Folding-Tyre-p69493/,37.81 €,,,Tyres,"27.5"" Tyres"
"Michelin Wild Grip'R Performance 27,5"" Faltreifen - Werkstattverpackung",https://www.bike-components.de/en/Michelin/Wild-Grip-R-Performance-27-5-Faltreifen-Werkstattverpackung-p71108/,from  9.24€,,,Tyres,"27.5"" Tyres"
"Schwalbe Big One Evolution 27.5"" Folding Tyre - Closeout",https://www.bike-components.de/en/Schwalbe/Big-One-Evolution-27-5-Folding-Tyre-Closeout-p45563/,31.89 €,2,,Tyres,"27.5"" Tyres"
"Maxxis Minion Semislick Silkworm 27.5"" Folding Tyre",https://www.bike-components.de/en/Maxxis/Minion-Semislick-Silkworm-27-5-Folding-Tyre-p45958/,29.37 €,2,,Tyres,"27.5"" Tyres"
"Maxxis Minion DHF 3C MaxxTerra EXO TR 27.5"" Folding Tyre",https://www.bike-components.de/en/Maxxis/Minion-DHF-3C-MaxxTerra-EXO-TR-27-5-Folding-Tyre-p46082/,46.18 €,3,,Tyres,"27.5"" Tyres"
"Continental Mountain King II ProTection 27.5"" Folding Tyre - Closeout",https://www.bike-components.de/en/Continental/Mountain-King-II-ProTection-27-5-Folding-Tyre-Closeout-p47008/,29.40 €,7,,Tyres,"27.5"" Tyres"
