id,product_name_full,context_name,service_name,emds1,emds2,emds3,emds4,emds5,emds6,emds7,emds8,emds9,emds10,emds11,emds12,emds13,emds14,emds15,emds16,emds17,emds18,emds19,emds20,emds21,emds22,emds23,emds24,emds25,emds26,emds27,emds28,emds29,emds30,emds31,emds32,emds33,emds34,emds35,emds36,emds37,emds38,emds39,emds40,emds41,emds42,emds43,emds44,emds45,emds46,emds47,emds48,emds49,emds50,emds51,emds52,emds53,emds54,emds55,emds56,emds57,emds58,emds59,emds60,emds61,emds62,emds63,emds64
2871,"Shimano G04S Brake Pads for XT, SLX, Alfine",null,null,-0.176664,0.118293,-0.050471,-0.178445,-0.10346,-0.060152,0.056883,-0.258976,0.008361,-0.056661,0.047907,0.110831,0.107577,0.093952,0.000024,-0.088334,0.150308,0.194959,-0.207975,-0.013041,0.154193,0.013532,0.19612,-0.100368,-0.338171,0.542102,0.092556,-0.201556,0.015919,0.085934,-0.254818,-0.20695,0.061869,0.080041,0.093303,0.11438,-0.204191,0.26338,0.161465,0.081102,-0.401414,0.149457,-0.007387,0.058999,0.174813,-0.31102,-0.117738,0.024233,0.231122,0.00853,0.162184,0.493173,0.318899,-0.062668,0.016204,-0.017075,-0.140014,0.051613,-0.005075,0.254229,-0.013607,-0.065284,0.01302,0.167433
2872,Magura Type 7.C Comfort Brake Pads for MT2 / MT4 / MTS / MT6 / MT8,null,null,-0.073337,-0.059069,-0.151409,-0.138859,-0.055281,-0.050729,-0.114281,-0.263264,0.089435,-0.223559,-0.012028,0.256825,0.036433,0.117776,-0.018407,0.053739,0.076399,-0.067995,-0.111835,-0.035233,-0.090332,-0.271589,-0.041477,0.278995,0.053633,0.367536,0.295322,0.117476,-0.357078,0.066061,-0.164081,-0.01232,0.349836,-0.077995,0.224152,0.050304,-0.157037,0.248216,0.18774,0.17713,-0.061466,0.224356,0.322733,0.14815,-0.254006,-0.151256,-0.044504,-0.006058,0.038536,-0.072934,0.288009,0.469074,0.144529,0.071175,-0.07912,-0.246913,-0.165105,0.017413,0.458984,0.108988,0.157843,-0.053802,-0.060573,-0.111436
2876,Magura Type 9.C Comfort Brake Pads for 4 Piston MT Disc Brakes,null,null,-0.145018,-0.013624,-0.089182,-0.091589,-0.26691,0.121289,-0.387763,-0.061816,0.089496,-0.400257,0.22136,0.401878,0.064442,0.089119,-0.03803,-0.374939,0.178851,0.193462,-0.303103,-0.270369,0.010209,0.139832,0.471757,-0.041603,-0.160708,0.687338,0.131628,-0.327356,-0.131979,0.203732,-0.208325,-0.090075,0.183585,0.219611,0.277358,-0.037497,-0.352775,-0.007729,-0.174696,-0.054309,-0.212272,0.042032,0.240974,-0.181599,-0.115148,-0.454587,0.15422,0.267723,-0.015599,-0.410109,0.209209,0.193554,0.115989,-0.170324,-0.079673,-0.043343,0.106395,0.15919,0.045908,0.360778,0.072321,-0.172825,-0.046666,0.222124
2880,"Shimano A10S Brake Pads for XT, SLX, Deore, Alfine",null,null,0.018724,0.054503,0.00846,0.15993,0.007055,0.019919,0.250566,-0.219629,-0.261804,-0.341253,-0.170023,0.16477,-0.148179,0.201501,0.176272,0.31108,0.108241,-0.124526,0.339562,0.274917,-0.312662,-0.115923,0.019374,0.704778,0.105906,0.451768,0.214216,0.047272,-0.629083,-0.391816,-0.038752,-0.003776,0.305538,-0.020743,0.638239,0.118467,-0.023055,0.240261,0.077797,0.284811,-0.361946,-0.046971,0.23325,-0.037288,-0.352093,-0.058062,0.111395,0.399707,-0.026471,-0.269296,0.298511,0.495377,-0.072633,0.191233,-0.169299,0.261858,0.248751,-0.13789,0.378362,-0.168089,-0.099665,-0.195977,0.347746,-0.701816
2882,Shimano L04C Brake Mounts for Flat Mount,null,null,-0.209623,-0.046617,-0.14499,0.016619,-0.286518,0.17432,-0.357951,0.111801,-0.037242,-0.450282,0.268599,0.367924,0.088037,-0.037651,-0.250252,-0.282436,0.123235,0.158368,-0.197651,-0.218962,0.008207,0.045227,0.326209,-0.129778,-0.122704,0.663147,0.172447,-0.338146,-0.16052,0.320852,-0.200169,-0.054201,0.102238,0.238672,0.20966,-0.108978,-0.241927,-0.001037,-0.252769,-0.008088,-0.173105,0.019839,0.234415,-0.189308,-0.077336,-0.449632,0.148594,0.274149,0.027159,-0.507493,0.108489,0.296505,0.170144,-0.313487,0.005404,0.035655,-0.002627,0.048181,-0.022719,0.336506,0.098647,-0.312269,0.128911,0.089138
2884,Kool Stop Bremsbeläge Disc für SRAM/Avid,null,null,-0.323588,0.324094,-0.054775,-0.14022,-0.159619,0.052695,0.05449,-0.073561,0.065586,0.008224,-0.02052,0.228397,0.172094,0.085127,-0.020847,-0.140834,0.0552,0.283281,-0.325474,-0.150037,-0.099552,-0.141427,0.112964,0.027296,-0.445135,0.702312,0.133751,-0.108653,-0.06532,0.218905,-0.077979,-0.052468,0.162353,0.040798,0.07421,0.094215,-0.042948,0.03671,0.140125,0.003608,-0.225741,0.069728,0.071826,0.088113,0.105161,-0.245543,0.043316,-0.038879,0.290777,-0.220044,0.286517,0.311326,0.301891,-0.104441,0.0759,-0.043293,-0.09464,0.252298,-0.014619,0.042271,-0.009072,0.037942,-0.081032,0.261865
2887,"Shimano G04Ti Brake Pads for XTR, XT, SLX, Alfine",null,null,-0.41196,0.000298,-0.222019,0.085312,-0.149832,0.253796,-0.282645,0.113635,0.103474,-0.402268,0.284744,0.262078,0.136819,0.183102,-0.208013,-0.470026,0.042161,0.329429,-0.270221,-0.178113,0.029812,0.064193,0.394298,-0.099126,-0.135777,0.85573,0.353072,-0.28206,-0.106963,0.379557,-0.074376,-0.193533,0.003058,0.228737,0.193695,-0.183502,-0.144751,-0.030705,-0.363604,0.079906,-0.163917,0.24505,0.234272,-0.19045,0.062017,-0.305794,0.317006,0.173506,-0.13885,-0.386342,0.295712,0.393377,0.276636,-0.214066,0.016873,0.147337,-0.106445,0.05069,-0.114176,0.250463,0.024884,-0.103538,0.088022,0.174212
2992,"Shimano Bleed Kit for XTR, XT, SLX, ZEE, Deore Brakes",null,null,-0.0539,0.057788,-0.12911,0.052797,0.059355,0.00028,0.023263,-0.22268,-0.177043,-0.355985,-0.257594,0.154441,-0.117865,0.183393,0.310617,0.222749,-0.090079,-0.117431,0.392718,0.319706,-0.384175,-0.06513,-0.094407,0.584204,0.387847,0.54371,0.247187,0.189741,-0.702924,-0.433021,-0.092084,0.135163,0.201593,0.036978,0.568143,0.189261,0.044797,0.151039,-0.016487,0.296571,-0.464907,0.155916,0.417983,-0.082827,-0.368432,-0.200401,0.361977,0.3588,-0.005656,-0.035464,0.304028,0.626662,-0.051903,0.451435,-0.159317,0.258672,0.200938,-0.224483,0.390102,0.018797,-0.203795,0.075895,0.31371,-0.667916
2994,Magura Mini-Service Kit,null,null,-0.157769,0.271839,-0.077025,-0.282477,0.054941,-0.090984,0.187752,-0.200925,-0.382006,0.252138,0.273856,-0.076662,0.204097,0.105043,-0.315422,0.174227,-0.352408,0.336649,0.235459,0.015334,-0.035891,-0.150788,-0.071858,-0.167431,-0.227821,0.202727,-0.061167,0.147217,0.20406,-0.109191,-0.088388,-0.090523,-0.020588,0.027373,-0.109589,0.109314,0.016202,0.327324,0.093216,0.077993,-0.419889,-0.075013,-0.047232,-0.051677,0.070646,-0.276186,-0.04598,0.245671,-0.159066,-0.210474,0.211683,0.384797,0.097693,-0.001349,0.128677,0.021204,-0.015061,0.015533,0.255674,-0.070868,-0.253889,0.054796,-0.183605,-0.232991
2996,Shimano Mineral Oil Bleeding Kit,null,null,-0.040465,-0.007316,-0.137983,0.171972,-0.044609,0.034823,0.238895,-0.191812,-0.155531,-0.54991,-0.260912,0.135996,-0.076222,0.199352,0.094003,0.295853,-0.285996,-0.072149,0.350286,0.348383,-0.337838,-0.058005,-0.139845,0.650946,0.206351,0.444766,0.434982,0.085496,-0.592653,-0.359752,-0.26974,0.075849,0.069955,-0.09738,0.729456,0.004326,-0.076347,0.408365,0.026216,0.30168,-0.430932,0.078616,0.338487,0.031654,-0.363455,-0.173389,0.101302,0.284959,0.040791,-0.166526,0.407213,0.585349,0.061342,0.398132,-0.090766,0.27212,0.136865,-0.03601,0.450292,-0.087591,-0.139317,-0.07478,0.502381,-0.684753
