product_name_full,product_link,price,thumbnail,categories
evoc FR Trail Blackline Protektor Rucksack,https://www.bike-components.de/en/evoc/FR-Trail-Blackline-Protektor-Rucksack-p40929/,168.07 €,,"Backpacks, Bags & Panniers"
Topeak Fuel Tank Frame Bag,https://www.bike-components.de/en/Topeak/Fuel-Tank-Frame-Bag-p42614/,from  26.85€,https://static.bike-components.de/cache/p/s1/4/2/Topeak-Fuel-Tank-Frame-Bag-42614-0-1481261390.jpeg,"Backpacks, Bags & Panniers"
Ortlieb Gravel-Pack Rear Panniers,https://www.bike-components.de/en/Ortlieb/Gravel-Pack-Rear-Panniers-p57224/,100.00 €,https://static.bike-components.de/cache/p/s1/5/7/Ortlieb-Gravel-Pack-Rear-Panniers-57224-0-1493098156.jpeg,"Backpacks, Bags & Panniers"
Ortlieb Back-Roller Free Panniers - 2018 Model,https://www.bike-components.de/en/Ortlieb/Back-Roller-Free-Panniers-2018-Model-p59624/,108.40 €,https://static.bike-components.de/cache/p/s1/5/9/Ortlieb-Back-Roller-Free-Panniers-2018-Model-59624-0-1503932102.jpeg,"Backpacks, Bags & Panniers"
Camelbak T.O.R.O. Protector 14 Backpack,https://www.bike-components.de/en/Camelbak/T-O-R-O-Protector-14-Backpack-p59988/,91.60 €,https://static.bike-components.de/cache/p/s1/5/9/Camelbak-T-O-R-O-Protector-14-Backpack-59988-0-1549629353.jpeg,"Backpacks, Bags & Panniers"
Ortlieb Micro 2 Saddle Bag,https://www.bike-components.de/en/Ortlieb/Micro-2-Saddle-Bag-p66604/,from  20.97€,https://static.bike-components.de/cache/p/s1/6/6/Ortlieb-Micro-2-Saddle-Bag-66604-0-1533890112.jpeg,"Backpacks, Bags & Panniers"
evoc Hip Pack Pro Hüfttasche,https://www.bike-components.de/en/evoc/Hip-Pack-Pro-Huefttasche-p67934/,75.63 €,https://static.bike-components.de/cache/p/s1/6/7/evoc-Hip-Pack-Pro-Huefttasche-67934-0-1539852739.jpeg,"Backpacks, Bags & Panniers"
deuter Quick Release Buckle,https://www.bike-components.de/en/deuter/Quick-Release-Buckle-p11587/,from  0.42€,https://static.bike-components.de/cache/p/s1/1/1/deuter-Quick-Release-Buckle-11587-0-1481258213.jpeg,"Backpacks, Bags & Panniers"
Topeak Aero Wedge Pack Saddle Bag,https://www.bike-components.de/en/Topeak/Aero-Wedge-Pack-Saddle-Bag-p2355/,from  13.40€,https://static.bike-components.de/cache/p/s1/2/3/Topeak-Aero-Wedge-Pack-Saddle-Bag-2355-0-1481258472.jpeg,"Backpacks, Bags & Panniers"
Topeak Weatherproof DynaWedge Strap Saddle Bag,https://www.bike-components.de/en/Topeak/Weatherproof-DynaWedge-Strap-Saddle-Bag-p38461/,17.61 €,https://static.bike-components.de/cache/p/s1/3/8/Topeak-Weatherproof-DynaWedge-Strap-Saddle-Bag-38461-0-1481264574.jpeg,"Backpacks, Bags & Panniers"
Ortlieb Back-Roller Plus Rear Panniers,https://www.bike-components.de/en/Ortlieb/Back-Roller-Plus-Rear-Panniers-p40765/,116.81 €,,"Backpacks, Bags & Panniers"
Racktime Talis Fahrradtasche,https://www.bike-components.de/en/Racktime/Talis-Fahrradtasche-p47754/,37.77 €,,"Backpacks, Bags & Panniers"
Blackburn Outpost Seat Pack + Dry Bag,https://www.bike-components.de/en/Blackburn/Outpost-Seat-Pack-Dry-Bag-p49875/,75.59 €,,"Backpacks, Bags & Panniers"
Ortlieb Frame-Pack,https://www.bike-components.de/en/Ortlieb/Frame-Pack-p52374/,from  83.99€,,"Backpacks, Bags & Panniers"
Camelbak Crux Water Bladder,https://www.bike-components.de/en/Camelbak/Crux-Water-Bladder-p56536/,from  16.80€,,"Backpacks, Bags & Panniers"
Ortlieb Seat-Pack M - 2018 Model,https://www.bike-components.de/en/Ortlieb/Seat-Pack-M-2018-Model-p59627/,108.40 €,,"Backpacks, Bags & Panniers"
Ortlieb Handlebar-Pack S - 2018 Model,https://www.bike-components.de/en/Ortlieb/Handlebar-Pack-S-2018-Model-p60325/,83.99 €,,"Backpacks, Bags & Panniers"
Racktime Tour Box,https://www.bike-components.de/en/Racktime/Tour-Box-p61184/,41.97 €,,"Backpacks, Bags & Panniers"
